"Ticket-Nr";"Datum";"Betreff";"Beschreibung"
"T-001";"2026-03-02";"Monitor flackert";"Seit heute Morgen flackert mein linker Monitor im Dualscreen-Setup alle paar Sekunden. Rechter Monitor funktioniert normal. Modell: Dell U2723QE."
"T-002";"2026-03-02";"Laptop startet nicht mehr";"Mein ThinkPad T14 lässt sich seit gestern nicht mehr einschalten. LED blinkt kurz orange, dann passiert nichts. Netzteil wurde schon getauscht."
"T-003";"2026-03-03";"Drucker druckt schief";"Der Drucker im 2. OG (HP LaserJet Pro) druckt seit der letzten Tonerwechsel alle Seiten ca. 5mm nach rechts versetzt."
"T-004";"2026-03-05";"Tastatur reagiert nicht";"Mehrere Tasten meiner Logitech-Tastatur reagieren nicht mehr (Q, W, A, S). USB-Anschluss wurde bereits gewechselt, Problem bleibt."
"T-005";"2026-03-07";"Beamer im Konferenzraum defekt";"Der Beamer im Konferenzraum B zeigt seit Freitag nur noch ein blaues Bild. Lampe wurde vor 2 Wochen gewechselt."
"T-006";"2026-03-02";"Excel stürzt beim Öffnen ab";"Wenn ich eine bestimmte Excel-Datei (Quartalsbericht_Q1.xlsx, ca. 45 MB) öffne, stürzt Excel nach ca. 10 Sekunden ab. Andere Dateien funktionieren."
"T-007";"2026-03-03";"Softwareupdate für SAP benötigt";"Unser SAP-Client zeigt die Meldung 'Version nicht mehr unterstützt' an. Laut SAP-Portal ist ein Update auf Version 8.10 verfügbar."
"T-008";"2026-03-04";"Outlook synchronisiert nicht";"Seit dem letzten Windows-Update synchronisiert Outlook meine E-Mails nicht mehr. Kalender funktioniert, aber der Posteingang bleibt leer."
"T-009";"2026-03-06";"Virenscanner blockiert Anwendung";"Der Virenscanner (Sophos) blockiert unsere intern entwickelte Lagerverwaltungssoftware. Fehlermeldung: 'Potentiell unerwünschte Anwendung erkannt'."
"T-010";"2026-03-08";"Lizenz für Adobe Creative Cloud abgelaufen";"Beim Start von Photoshop kommt die Meldung, dass unsere Lizenz am 28.02. abgelaufen ist. Betrifft alle 5 Arbeitsplätze in der Grafikabteilung."
"T-011";"2026-03-02";"WLAN im 3. OG instabil";"Im gesamten 3. Obergeschoss bricht das WLAN mehrfach täglich ab. Betrifft alle Geräte. Im 2. OG funktioniert alles normal."
